s_$(name)_def_body	默认1		Character_def_body
b_$(name)_def_body	默认-战斗2	Character_b_def_body
b_$(name)_def_dbody	默认-战损3	Character_b_def_dbody
s_$(name)_ss_body	春夏服-站立4	Character_ss_body
b_$(name)_ss_body	春夏服-战斗5	Character_b_ss_body
b_$(name)_ss_dbody	春夏服-战损6	Character_b_ss_dbody
s_$(name)_aw_body	秋冬服-站立7	Character_aw_body
b_$(name)_aw_body	秋冬服-战斗8	Character_b_aw_body
b_$(name)_aw_dbody	秋冬服-战损9	Character_b_aw_dbody
s_$(name)_sumo_body	相扑10		Character_sumo
s_$(name)_bath_body	浴室11		Character_barh
s_$(name)_ny_body	新年12		Character_ny
s_$(name)_pa_body	赞助13		Character_patronag
s_$(name)_swim_body	泳装14		Character_swim
s_$(name)_xmas_body	圣诞节15		Character_christmas
s_$(name)_ev_body	情人节16		Character_ev
